2017-07-19 10:13:15 INFO  SimpleUrlHandlerMapping:362 - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-07-19 10:13:15 INFO  SimpleUrlHandlerMapping:362 - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-07-19 10:13:15 INFO  ExceptionHandlerExceptionResolver:273 - Detected @ExceptionHandler methods in generalExceptionHandler
2017-07-19 10:13:15 INFO  SimpleUrlHandlerMapping:362 - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-07-19 10:13:16 WARN  URLConfigurationSource:121 - No URLs will be polled as dynamic configuration sources.
2017-07-19 10:13:16 INFO  URLConfigurationSource:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2017-07-19 10:13:16 WARN  URLConfigurationSource:121 - No URLs will be polled as dynamic configuration sources.
2017-07-19 10:13:16 INFO  URLConfigurationSource:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:916 - Bean with name 'dataSource' has been autodetected for JMX exposure
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:916 - Bean with name 'environmentManager' has been autodetected for JMX exposure
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:916 - Bean with name 'configurationPropertiesRebinder' has been autodetected for JMX exposure
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:916 - Bean with name 'refreshScope' has been autodetected for JMX exposure
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:678 - Located managed bean 'environmentManager': registering with JMX server as MBean [org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager]
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:678 - Located managed bean 'refreshScope': registering with JMX server as MBean [org.springframework.cloud.context.scope.refresh:name=refreshScope,type=RefreshScope]
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:678 - Located managed bean 'configurationPropertiesRebinder': registering with JMX server as MBean [org.springframework.cloud.context.properties:name=configurationPropertiesRebinder,context=3272cae,type=ConfigurationPropertiesRebinder]
2017-07-19 10:13:16 INFO  AnnotationMBeanExporter:671 - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2017-07-19 10:13:16 INFO  DefaultLifecycleProcessor:343 - Starting beans in phase 0
2017-07-19 10:13:16 INFO  InstanceInfoFactory:70 - Setting initial instance status as: STARTING
2017-07-19 10:13:16 INFO  DiscoveryClient:344 - Initializing Eureka in region us-east-1
2017-07-19 10:13:17 INFO  DiscoveryJerseyProvider:70 - Using JSON encoding codec LegacyJacksonJson
2017-07-19 10:13:17 INFO  DiscoveryJerseyProvider:71 - Using JSON decoding codec LegacyJacksonJson
2017-07-19 10:13:17 INFO  DiscoveryJerseyProvider:80 - Using XML encoding codec XStreamXml
2017-07-19 10:13:17 INFO  DiscoveryJerseyProvider:81 - Using XML decoding codec XStreamXml
2017-07-19 10:13:17 INFO  ConfigClusterResolver:43 - Resolving eureka endpoints via configuration
2017-07-19 10:13:17 INFO  DiscoveryClient:920 - Disable delta property : false
2017-07-19 10:13:17 INFO  DiscoveryClient:921 - Single vip registry refresh property : null
2017-07-19 10:13:17 INFO  DiscoveryClient:922 - Force full registry fetch : false
2017-07-19 10:13:17 INFO  DiscoveryClient:923 - Application is null : false
2017-07-19 10:13:17 INFO  DiscoveryClient:924 - Registered Applications size is zero : true
2017-07-19 10:13:17 INFO  DiscoveryClient:926 - Application version is -1: true
2017-07-19 10:13:17 INFO  DiscoveryClient:1009 - Getting all instance registry info from the eureka server
2017-07-19 10:13:17 INFO  DiscoveryClient:1018 - The response status is 200
2017-07-19 10:13:17 INFO  DiscoveryClient:1244 - Starting heartbeat executor: renew interval is: 30
2017-07-19 10:13:17 INFO  InstanceInfoReplicator:59 - InstanceInfoReplicator onDemand update allowed rate per min is 4
2017-07-19 10:13:17 INFO  DiscoveryClient:425 - Discovery Client initialized at timestamp 1500448397807 with initial instances count: 2
2017-07-19 10:13:17 INFO  EurekaServiceRegistry:40 - Registering application user-service with eureka with status UP
2017-07-19 10:13:17 INFO  DiscoveryClient:1279 - Saw local status change event StatusChangeEvent [timestamp=1500448397882, current=UP, previous=STARTING]
2017-07-19 10:13:17 INFO  DiscoveryClient:795 - DiscoveryClient_USER-SERVICE/EPUAKHAW0678.kyiv.epam.com:user-service:8072: registering service...
2017-07-19 10:13:17 INFO  DiscoveryClient:804 - DiscoveryClient_USER-SERVICE/EPUAKHAW0678.kyiv.epam.com:user-service:8072 - registration status: 204
2017-07-19 10:13:17 INFO  TomcatEmbeddedServletContainer:198 - Tomcat started on port(s): 8072 (http)
2017-07-19 10:13:17 INFO  EurekaAutoServiceRegistration:117 - Updating port to 8072
2017-07-19 10:13:17 INFO  UserServiceApplication:57 - Started UserServiceApplication in 9.651 seconds (JVM running for 13.551)
